From*, To*, Variable*, Range_Lower_Limit*, Weight, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 5100, 0.331007062474574, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 5400, 0.155832897890273, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 7100, 1.23884465863767, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 7300, 1.71087053326417, 
1, 2, dynamic_biofisico/Dista_riosquebradas, 0, 0.0573777535981443, 
1, 2, dynamic_biofisico/Dista_riosquebradas, 100, -0.318401688519823, 
1, 2, dynamic_biofisico/Dista_riosquebradas, 300, -2.59941219655087, 
1, 2, dynamic_biofisico/bin_rnare, 0, 0.393502039711481, 
1, 2, dynamic_biofisico/bin_rnare, 100, 0.747678421738555, 
1, 2, dynamic_biofisico/bin_rnare, 200, 1.06195660768105, 
1, 2, dynamic_biofisico/bin_rnare, 300, 0.586940436611775, 
1, 2, dynamic_biofisico/bin_rnare, 500, 0.855204423206454, 
1, 2, dynamic_biofisico/bin_rnare, 600, 0.484661587491357, 
1, 2, dynamic_biofisico/bin_rnare, 900, 0.285958574169215, 
1, 2, dynamic_biofisico/bin_rnare, 2900, -0.59937743247544, 
1, 2, dynamic_biofisico/bin_rnare, 3000, -0.952611348358159, 
1, 2, dynamic_biofisico/bin_rnare, 3200, -1.9625047343138, 
1, 2, dynamic_biofisico/bin_rnare, 3300, -0.655134387384626, 
1, 2, dynamic_biofisico/bin_rnare, 3500, -2.0634806516538, 
1, 2, dynamic_biofisico/bin_rnare, 3600, -1.48553243575197, 
1, 2, dynamic_biofisico/bin_rnare, 3700, -0.366112998165392, 
1, 2, dynamic_biofisico/bin_rnare, 3900, -0.905963659566374, 
1, 2, dynamic_biofisico/bin_rnare, 4000, -0.600838116010326, 
1, 2, dynamic_biofisico/bin_rnare, 4500, -0.21429937303942, 
1, 2, dynamic_biofisico/bin_rnare, 4900, 0.0918631698139234, 
1, 2, dynamic_biofisico/bin_rnare, 5900, -0.99461227233279, 
1, 2, dynamic_biofisico/bin_rnare, 6000, -0.700691357534417, 
1, 2, dynamic_biofisico/bin_rnare, 6700, -2.1310600953436, 
1, 2, dynamic_biofisico/bin_rnare, 6800, -0.676158541214255, 
1, 2, dynamic_biofisico/bin_rnare, 6900, -0.410790627202554, 
1, 2, dynamic_biofisico/bin_rnare, 7100, -0.0850543689429437, 
1, 2, dynamic_biofisico/bin_rnare, 7300, 0.992405544719939, 
1, 2, dynamic_biofisico/bin_rnare, 7400, 0.484868905829406, 
1, 2, dynamic_biofisico/bin_rnare, 7700, 1.39560050429356, 
1, 2, dynamic_biofisico/bin_rnare, 7800, 1.17503484116858, 
1, 2, dynamic_conflictos/Dist_ConflictosEEP, 0, 0.274984555889428, 
1, 2, dynamic_conflictos/Dist_ConflictosEEP, 60, -0.410343599926447, 
1, 2, dynamic_conflictos/Dist_ConflictosEEP, 120, -0.63448651592535, 
1, 2, dynamic_conflictos/Dist_ConflictosEEP, 300, -2.91158528901094, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 0, 0.0362353184139985, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 1320, -0.419268242204134, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 1500, -0.786775142301256, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 1560, -0.0730233251579298, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 2580, -0.136978402614924, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3180, 1.09222588000215, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3300, 0.124037428915616, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3600, -0.189820883989304, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 4440, 0.164616011698736, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 5940, 1.37623147772462, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 6060, 1.32090961169198, 
1, 2, dynamic_conflictos/Dist_atropellamiento_felinos, 0, -0.737478520790028, 
1, 2, dynamic_conflictos/Dist_atropellamiento_felinos, 120, -0.652882020607858, 
1, 2, dynamic_conflictos/Dist_atropellamiento_felinos, 240, -0.228147789753218, 
1, 2, dynamic_conflictos/Dist_atropellamiento_felinos, 420, 0.226472694434346, 
1, 2, dynamic_conflictos/Dist_atropellamiento_felinos, 540, 0.132018113583269, 
1, 2, dynamic_conflictos/Dist_atropellamiento_felinos, 1200, 0.0594941230559467, 
1, 2, dynamic_conflictos/Dist_atropellamiento_felinos, 2160, -0.331642747551757, 
1, 2, dynamic_conflictos/Dist_atropellamiento_felinos, 3060, 0.281004923850644, 
1, 2, dynamic_conflictos/Dist_atropellamiento_felinos, 3240, -1.42796258393049, 
1, 2, dynamic_conflictos/Dist_atropellamiento_felinos, 3360, -2.14742707280781, 
1, 2, dynamic_conflictos/Dist_atropellamiento_felinos, 3540, -1.91722402978064, 
1, 2, dynamic_conflictos/Dist_presencia_felinos, 0, -0.594786758766841, 
1, 2, dynamic_conflictos/Dist_presencia_felinos, 60, -0.392894003555881, 
1, 2, dynamic_conflictos/Dist_presencia_felinos, 300, -0.60698203186066, 
1, 2, dynamic_conflictos/Dist_presencia_felinos, 360, -0.405859563180976, 
1, 2, dynamic_conflictos/Dist_presencia_felinos, 480, -0.1710664751745, 
1, 2, dynamic_conflictos/Dist_presencia_felinos, 840, 0.214279305708444, 
1, 2, dynamic_conflictos/Dist_presencia_felinos, 960, 0.461777293657769, 
1, 2, dynamic_conflictos/Dist_presencia_felinos, 1020, 0.68163011930908, 
1, 2, dynamic_conflictos/Dist_presencia_felinos, 1140, 0.895797506200014, 
1, 2, static_Infraestructura/Bin_NuevosProyectos, 1, 0, 
1, 2, static_Infraestructura/Bin_clasedesuelos, 1, 1.17911169983172, 
1, 2, static_Infraestructura/Bin_clasedesuelos, 2, -0.114060559018861, 
1, 2, static_Infraestructura/Bin_clasedesuelos, 3, 1.34532813904012, 
1, 2, static_Infraestructura/Bin_constru_rural, 1, -0.0288355496398873, 
1, 2, static_Infraestructura/Bin_constru_rural, 2, 0.964416223370396, 
1, 2, static_Infraestructura/Bin_constru_rural, 3, 1.59302488279277, 
1, 2, static_Infraestructura/Bin_constru_urbana, 1, 0, 
1, 2, static_Infraestructura/Bin_constru_urbana, 2, 0, 
1, 2, static_Infraestructura/Bin_constru_urbana, 3, 0, 
1, 2, static_amenazas/Bin_Deslizamientos, 1, 0, 
1, 2, static_amenazas/Bin_Inundaciones, 1, 0, 
1, 2, static_amenazas/Bin_Mineria, 1, 0, 
1, 2, static_amenazas/Bin_incendios_forestales, 1, 0.975574439239553, 
1, 2, static_amenazas/Bin_incendios_forestales, 2, -0.316977828376745, 
1, 2, static_amenazas/Bin_incendios_forestales, 3, 0.349919274570308, 
1, 2, static_biofisico/Bin_POMCA, 1, 1.57452761397729, 
1, 2, static_biofisico/Bin_POMCA, 2, -0.864147012145674, 
1, 2, static_biofisico/Bin_POMCA, 3, -0.447175693206344, 
1, 2, static_biofisico/Bin_clasedesuelos, 1, 1.17911169983172, 
1, 2, static_biofisico/Bin_clasedesuelos, 2, -0.114060559018861, 
1, 2, static_biofisico/Bin_clasedesuelos, 3, 1.34532813904012, 
1, 2, static_biofisico/Bin_humendales, 1, 0, 
1, 2, static_biofisico/Bin_nacimientos, 1, 0, 
1, 2, static_biofisico/Bin_parquesreservas, 1, 0, 
1, 2, static_biofisico/Bin_silape, 1, 0.644962963376885, 
1, 2, static_biofisico/Bin_silape, 2, -0.33915098464688, 
1, 2, static_biofisico/bin_rnare, 1, 0, 
1, 2, static_conflictos/Bin_estructuraecologicappal, 1, 0, 
