Transition_From*, Transition_To*, First_Variable*, Second_Variable*, Chi_2, Cramer, Contingency, Joint_Entropy, Joint_Uncertainty, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_conflictos/Dist_ataques_felinos, 76344.3976469316, 0.291583207524213, 0.677879141332253, 3.73914062158805, 0.202482410570317, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_conflictos/Dist_atropellamiento_felinos, 45195.9832499031, 0.22434884711232, 0.578625460160915, 3.94563207532285, 0.117100823572201, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_conflictos/Dist_presencia_felinos, 14484.8782261428, 0.141999348995631, 0.372698089540947, 4.12912148342396, 0.0431642453147333, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_Infraestructura/Bin_NuevosProyectos, 0, 0, 0, 2.13821252272299, 0, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_Infraestructura/Bin_clasedesuelos, 56106.535302535, 0.558940591567579, 0.620121508030229, 2.74617790996425, 0.156211274926036, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_Infraestructura/Bin_constru_rural, 158.543928380243, 0.100286296711261, 0.140421010164048, 2.40428387859009, 0.00669775169005528, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_Infraestructura/Bin_constru_urbana, 1357.48906568095, 0.378331408626576, 0.471760354923935, 2.62161401944209, 0.0865213781572288, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_amenazas/Bin_Deslizamientos, 0, 0, 0, 2.11812823813051, 0, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_amenazas/Bin_Inundaciones, 0, 0, 0, 2.2111091994393, 0, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_amenazas/Bin_Mineria, 0, 0, 0, 1.11646634234018, 0, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_amenazas/Bin_incendios_forestales, 14477.6727740274, 0.372369559369253, 0.465950328624384, 3.19400567375392, 0.0893248158323767, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_biofisico/Bin_POMCA, 11632.5656543458, 0.707458563254689, 0.707282606608263, 1.82986873787893, 0.360010695025783, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_biofisico/Bin_clasedesuelos, 56106.535302535, 0.558940591567579, 0.620121508030229, 2.74617790996425, 0.156211274926036, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_biofisico/Bin_humendales, 0, 0, 0, 1.55096885952933, 0, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_biofisico/Bin_nacimientos, 0, 0, 0, 2.23333154387475, 0, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_biofisico/Bin_parquesreservas, 0, 0, 0, 2.17777990997964, 0, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_biofisico/Bin_silape, 9181.44145001653, 0.502225520124556, 0.448803921655236, 2.77905184103575, 0.0936699215555056, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_biofisico/bin_rnare, 0, 0, 0, 0.578717424251906, 0, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, static_conflictos/Bin_estructuraecologicappal, 0, 0, 0, 2.35870904902809, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_Infraestructura/Dist_constru_urbana, 46047.033912657, 0.238700593163802, 0.582215472320019, 4.13037016674484, 0.126021073914586, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_Infraestructura/Dist_linea_altatension, 10290.3291600114, 0.112841097462544, 0.320648654989305, 3.36707397946113, 0.0340985565585508, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_Infraestructura/Dist_potable, 54900.2376795441, 0.260639227760498, 0.615970613591749, 3.34689377606048, 0.125551636681891, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_Infraestructura/Dist_redEPM, 20700.025628719, 0.160043525444138, 0.432826734505747, 3.6068246497172, 0.055894353715957, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_Infraestructura/Dist_vias_region, 8630.29289857636, 0.103339280990621, 0.296114319619041, 2.95635166747356, 0.0353890001075116, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_Infraestructura/Dist_vias_rurales, 154788.943367988, 0.437645669722773, 0.795528964320994, 3.45914517589418, 0.264210874569355, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_amenazas/Dist_Altaincendios, 13065.1370010057, 0.147609347033993, 0.404903911718485, 3.58618785472268, 0.0596102222674386, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_amenazas/Dist_Deslizamiento, 7575.02504480166, 0.0973037710682014, 0.280216426245048, 3.15329968100679, 0.0293451453537549, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_amenazas/Dist_Mineria, 37928.144750256, 0.218301780096843, 0.547869925324336, 3.56695479756151, 0.116104528348283, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_amenazas/Dist_PlantacionesHisto, 46888.4040669452, 0.323202606154904, 0.58574661336985, 2.64801090093431, 0.137337697857948, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_biofisico/Dist_CorredoresSILAPE, 9604.81782617511, 0.188824290388054, 0.310850644250716, 2.7135847995039, 0.0457507133203086, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_biofisico/Dist_EcoPOMCA, 21659.0753519142, 0.163709025755345, 0.440830850014689, 2.88388170017139, 0.0856515068071558, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_biofisico/Dist_NucleosSILAPE, 68427.5087879236, 0.308634373935843, 0.657629416331157, 3.00062001912487, 0.165034209273104, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_biofisico/Dist_nacimientos, 0, 0, 0, 1.72660109724125, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_biofisico/Dist_parquesreservas, 28586.6966553267, 0.18807655209179, 0.491405153350496, 3.94421452299045, 0.0719923410285869, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_biofisico/Dista_riosquebradas, 8969.75023966889, 0.223485370900568, 0.30136248634723, 2.22214547578895, 0.0317300686019805, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_biofisico/bin_rnare, 43284.2344013785, 0.231428871700128, 0.570308340854854, 4.31234311112781, 0.108978684665161, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_conflictos/Dist_ConflictosEEP, 22011.8821925119, 0.285852427823278, 0.443704998644146, 2.6043063135143, 0.0708418791258958, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_conflictos/Dist_ataques_felinos, 19940.6439010843, 0.157080493442467, 0.426280759435812, 3.35866398584772, 0.0645908106207002, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_conflictos/Dist_atropellamiento_felinos, 59584.7161629439, 0.271531429080922, 0.631570188975376, 3.27448445244414, 0.129631802959469, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, dynamic_conflictos/Dist_presencia_felinos, 9828.85080932442, 0.116971565030225, 0.314101282134026, 3.46667899238384, 0.0362194466122229, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, static_Infraestructura/Bin_NuevosProyectos, 0, 0, 0, 0.907365475766924, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, static_Infraestructura/Bin_clasedesuelos, 18742.5631851195, 0.323052730839803, 0.415551121163808, 2.19222651319316, 0.0847706006187581, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, static_Infraestructura/Bin_constru_rural, 3327.64140418011, 0.459446604847803, 0.544844284955039, 0.14577860592713, 0.419943809110999, 
